Date;Tmin;Tmax;DD;Cum_DD;;
2022.04.04;8.5;15.3;11.9;521;;
2022.04.05;8.7;17.3;13;534;;
2022.04.06;16;18;17;551;;
2022.04.07;8.5;19;13.75;564.75;;
2022.04.08;6;14;10;574.75;;
2022.04.09;5;6.5;5.75;580.5;;
2022.04.10;5;6;5.5;586;;
2022.04.11;5;5.5;5.25;591.25;;
2022.04.12;5;5.5;5.25;596.5;;
2022.04.13;5;5.5;5.25;601.75;;
2022.04.14;4;7;5.5;607.25;;
2022.04.15;4;5;4.5;611.75;;
2022.04.16;4;5;4.5;616.25;;
2022.04.17;4;5;4.5;620.75;;
2022.04.18;4;5;4.5;625.25;;
2022.04.19;4;5;4.5;629.75;;
2022.04.20;1.5;2;1.75;631.5;;
2022.04.21;1;2;1.5;633;;
2022.04.22;0;2;1;634;;
2022.04.23;0;1.5;0.75;634.75;;
2022.04.24;0;1.5;0.75;635.5;;
2022.04.25;-0.5;2;0.75;636.25;;
2022.04.26;-0.5;1.5;0.5;636.75;;
2022.04.27;-0.5;5.5;2.5;639.25;;
2022.04.28;3;7.5;5.25;644.5;;
2022.04.29;3;9.5;6.25;650.75;;
2022.04.30;9;11.5;10.25;661;;
2022.05.01;9;11.5;10.25;671.25;;
2022.05.02;9;11.5;10.25;681.5;;
2022.05.03;10.8;17.6;14.2;695.7;;
2022.05.04;12;16.8;14.4;710.1;;
2022.05.05;12.4;15.2;13.8;723.9;;
2022.05.06;12.1;16.6;14.35;738.25;;
2022.05.07;13;18.4;15.7;753.95;;
2022.05.08;13.2;18.8;16;769.95;;
2022.05.09;13.5;20.4;16.95;786.9;;
2022.05.10;12.6;21;16.8;803.7;;
2022.05.11;12.68571429;18.17142857;15.42857143;819.1285714;;
2022.05.12;13.8;21.4;17.6;836.7285714;;
2022.05.13;14.4;21.4;17.9;854.6285714;;
2022.05.14;15.2;21.8;18.5;873.1285714;;
2022.05.15;14.1;23.1;18.6;891.7285714;;
2022.05.16;14.8;21.8;18.3;910.0285714;;
2022.05.17;14.4;22.9;18.65;928.6785714;;
2022.05.18;14.8;23.4;19.1;947.7785714;;
2022.05.19;15.7;23;19.35;967.1285714;;
2022.05.20;16.1;23.4;19.75;986.8785714;;
2022.05.21;16.1;23.8;19.95;1006.828571;;
2022.05.22;16.6;22.6;19.6;1026.428571;;
2022.05.23;16.4;23.8;20.1;1046.528571;;
2022.05.24;13.4;17.3;15.35;1061.878571;;
2022.05.25;13.1;20.8;16.95;1078.828571;;
2022.05.26;14.1;20.9;17.5;1096.328571;;
2022.05.27;13.6;21.9;17.75;1114.078571;;
2022.05.28;13.8;21;17.4;1131.478571;;
2022.05.29;12.7;20.5;16.6;1148.078571;;
2022.05.30;13;20.9;16.95;1165.028571;;
2022.05.31;13.1;20.8;16.95;1181.978571;;
2022.06.01;12.9;20.5;16.7;1198.678571;;
2022.06.02;14.7;23.7;19.2;1217.878571;;
2022.06.03;15.4;22.9;19.15;1237.028571;;
2022.06.04;16.6;24.8;20.7;1257.728571;;
2022.06.05;18.2;22.7;20.45;1278.178571;;
2022.06.06;14.5;22.6;18.55;1296.728571;;
2022.06.07;15.2;20.7;17.95;1314.678571;;
2022.06.08;12.3;20.9;16.6;1331.278571;;
2022.06.09;13.2;20.3;16.75;1348.028571;;
2022.06.10;13;20.9;16.95;1364.978571;;
2022.06.11;13.4;22.6;18;1382.978571;;
2022.06.12;14.8;23.7;19.25;1402.228571;;
2022.06.13;15.3;23.8;19.55;1421.778571;;
2022.06.14;14.7;23;18.85;1440.628571;;
2022.06.15;13.81428571;22.17142857;17.99285714;1458.621429;;
2022.06.16;18.6;26.1;22.35;1480.971429;;
2022.06.17;16.4;24.8;20.6;1501.571429;;
2022.06.18;15.4;25.1;20.25;1521.821429;;
2022.06.19;20;26.7;23.35;1545.171429;;
2022.06.20;18.5;25.6;22.05;1567.221429;;
2022.06.21;18.5;25.3;21.9;1589.121429;;
2022.06.22;18.9;25;21.95;1611.071429;;
2022.06.23;18.7;24.7;21.7;1632.771429;;
2022.06.24;16.4;21.2;18.8;1651.571429;;
2022.06.25;14.5;23.4;18.95;1670.521429;;
2022.06.26;17.3;24.1;20.7;1691.221429;;
2022.06.27;17.3;21.6;19.45;1710.671429;;
2022.06.28;16.7;21.8;19.25;1729.921429;;
2022.06.29;17.7;23.8;20.75;1750.671429;;
2022.06.30;18;24.3;21.15;1771.821429;;
2022.07.01;17.1;23.4;20.25;1792.071429;;
2022.07.02;16.9;24;20.45;1812.521429;;
2022.07.03;17.3;24.4;20.85;1833.371429;;
2022.07.04;20;24.9;22.45;1855.821429;;
2022.07.05;19.4;23.9;21.65;1877.471429;;
2022.07.06;17.3;23.6;20.45;1897.921429;;
2022.07.07;17.3;23.9;20.6;1918.521429;;
2022.07.08;17.7;24;20.85;1939.371429;;
2022.07.09;18.9;23.8;21.35;1960.721429;;
2022.07.10;19.3;23.7;21.5;1982.221429;;
2022.07.11;17.9;23.6;20.75;2002.971429;;
2022.07.12;18.8;23.9;21.35;2024.321429;;
2022.07.13;17.7;24;20.85;2045.171429;;
2022.07.14;20.6;25.4;23;2068.171429;;
2022.07.15;20.5;24.7;22.6;2090.771429;;
2022.07.16;19.6;24;21.8;2112.571429;;
2022.07.17;20.5;24.4;22.45;2135.021429;;
2022.07.18;19;25.4;22.2;2157.221429;;
2022.07.19;22.5;22.5;22.5;2179.721429;;
2022.07.20;21.5;27.2;24.35;2204.071429;;
2022.07.21;21;23.9;22.45;2226.521429;;
2022.07.22;19.9;25.5;22.7;2249.221429;;
2022.07.23;21.2;25.4;23.3;2272.521429;;
2022.07.24;20.2;25.1;22.65;2295.171429;;
2022.07.25;20.3;26.9;23.6;2318.771429;;
2022.07.26;21.3;24.8;23.05;2341.821429;;
2022.07.27;18.4;23.7;21.05;2362.871429;;
2022.07.28;18.5;23.8;21.15;2384.021429;;
2022.07.29;20;23.9;21.95;2405.971429;;
2022.07.30;17.6;24;20.8;2426.771429;;
2022.07.31;18.5;24.1;21.3;2448.071429;;
2022.08.01;19.5;24.6;22.05;2470.121429;;
2022.08.02;19.9;25.6;22.75;2492.871429;;
2022.08.03;20.2;26.8;23.5;2516.371429;;
2022.08.04;21.2;27.4;24.3;2540.671429;;
2022.08.05;21.6;26.5;24.05;2564.721429;;
2022.08.06;20.7;25.2;22.95;2587.671429;;
2022.08.07;20.1;24.4;22.25;2609.921429;;
2022.08.08;18.8;24.5;21.65;2631.571429;;
2022.08.09;22.6;22.6;22.6;2654.171429;;
2022.08.10;19.4;24.1;21.75;2675.921429;;
2022.08.11;19.1;24.3;21.7;2697.621429;;
2022.08.12;19.4;24.1;21.75;2719.371429;;
2022.08.13;18.9;24;21.45;2740.821429;;
2022.08.14;19.3;23.7;21.5;2762.321429;;
2022.08.15;17.5;23.8;20.65;2782.971429;;
2022.08.16;17.6;23.8;20.7;2803.671429;;
2022.08.17;19.2;24.7;21.95;2825.621429;;
2022.08.18;18.2;23.8;21;2846.621429;;
2022.08.19;19.1;23.2;21.15;2867.771429;;
2022.08.20;19.2;23.7;21.45;2889.221429;;
2022.08.21;17.3;23.9;20.6;2909.821429;;
2022.08.22;18.3;24.3;21.3;2931.121429;;
2022.08.23;18.3;23.8;21.05;2952.171429;;
2022.08.24;18.5;23.8;21.15;2973.321429;;
2022.08.25;18.4;25.3;21.85;2995.171429;;
2022.08.26;21.5;23.8;22.65;3017.821429;;
2022.08.27;19.7;24.5;22.1;3039.921429;;
2022.08.28;18.9;23.9;21.4;3061.321429;;
2022.08.29;18.3;30.4;24.35;3085.671429;;
2022.08.30;19.5;28.8;24.15;3109.821429;;
2022.08.31;18.7;20.5;19.6;3129.421429;;
